10000 100000
9488 3533 54
8177 6933 27
4300 3395 39
129 2657 49
5322 3457 54
61 43 81
7046 3273 75
2732 5855 74
5302 7726 89
6547 9768 17
7553 5111 42
5232 5632 12
1097 1568 63
4406 3644 3
9809 2717 1
4038 5202 62
5334 3544 17
3173 2042 47
3255 4767 66
2152 2912 2
2324 1865 9
5750 3566 12
6347 4586 11
312 4481 81
6279 5052 95
9462 4951 36
4415 630 71
9301 9738 17
6513 809 77
9676 5566 39
8925 3400 11
6147 155 6
8688 4334 84
1717 2535 69
4938 9787 78
274 809 9
2462 7674 79
706 9614 20
6687 8833 38
6557 5432 20
5013 3426 65
4813 4621 3
9080 4985 83
1466 9376 82
7111 9345 13
8007 7733 3
6980 7168 57
3450 8544 68
9351 5626 25
2462 2700 52
2727 3700 60
3469 4720 26
668 4014 48
7945 9928 90
2690 7754 84
3989 8726 28
9526 3661 97
7489 6 36
688 4362 17
6585 5461 74
6552 1809 75
7139 3099 49
2803 7781 59
3352 4122 59
7065 9689 5
1845 5596 65
8874 8878 44
4610 8134 92
5894 1596 62
3126 8204 38
798 7220 1
9822 3235 19
618 5495 5
4903 7350 58
3133 6600 4
7275 7520 67
9397 7708 2
2857 9348 13
4533 2450 27
3114 8435 97
578 1786 58
3745 3181 56
8848 7684 68
6767 6728 37
8291 1999 28
7146 88 54
2846 3470 4
7610 5987 2
1956 3484 58
5592 2933 37
670 1198 63
6866 8641 23
8376 1969 86
3059 4045 47
4874 5884 74
5027 1 53
9248 7358 19
933 724 7
3359 722 61
1025 9347 4
7168 9503 89
8810 3630 65
1639 6677 19
7915 202 31
8077 7715 44
7193 805 89
3346 9375 10
1985 4712 66
2441 4012 7
706 6080 80
4824 3721 74
1361 1869 73
5975 4692 32
9991 1138 7
1742 7298 23
3460 6308 37
4959 6705 84
2429 1206 29
7936 7753 93
9008 9507 92
9733 4657 63
9980 7463 67
9987 4051 14
8261 5377 43
750 5092 59
2240 3633 16
3401 7386 98
8390 3119 82
8423 923 47
9551 8562 45
5549 3892 45
9284 8124 91
8654 1728 18
5637 1744 83
1639 5700 5
3139 4668 40
3247 1349 1
583 5543 29
6960 6321 51
8221 9523 26
9812 5533 51
9927 7545 8
8747 9394 27
4393 7866 58
2693 5033 41
690 1524 69
2127 1649 31
2948 121 88
379 674 20
1270 5665 24
992 8462 58
7464 5568 38
5196 384 51
8616 5696 99
8405 5931 79
4548 1274 64
6764 7234 64
4185 1157 15
8302 190 22
6331 1202 85
9341 9721 39
4074 21 98
995 6071 90
4489 7492 18
8449 518 52
4995 5687 49
9308 5304 17
4564 3639 1
3636 9293 48
1673 1949 21
8784 2687 58
1087 885 6
2297 9408 85
8180 7239 21
2470 3383 36
107 7334 9
5550 5802 7
2292 891 62
6390 1169 76
4638 3901 80
6507 7969 65
1843 3768 58
1127 8952 25
5915 1373 27
6452 9946 82
3865 4682 66
12 7351 81
2348 3961 41
7956 5189 45
5443 3907 55
5851 6996 48
8949 8181 9
3484 1793 39
4056 6026 96
6123 167 49
2354 4316 57
4006 6401 30
2250 5175 32
2990 2648 60
772 5472 78
9508 6967 38
3628 3025 41
2084 8106 12
9182 6106 98
7848 6118 26
9026 2885 66
4785 149 50
532 5853 74
8991 8845 59
8708 9700 52
6857 2980 29
4647 5883 38
6434 6372 76
5645 1547 11
2649 55 78
4218 9463 62
2488 7768 2
2889 1310 24
4954 8504 6
3795 531 10
3197 7107 76
5023 3811 49
6149 2474 83
3959 2852 4
5059 5616 77
426 4754 5
5335 9641 79
611 9760 12
4974 9963 78
9104 8442 10
8145 9643 82
7513 677 43
537 6950 26
1345 8169 13
645 7527 66
1161 1480 18
4798 8478 35
8789 2578 98
118 8160 59
8922 4125 11
6558 2481 89
4166 9651 27
6150 3774 65
9103 1765 88
7634 4136 69
8145 9959 28
3410 9787 35
5977 7883 77
4873 6451 56
6906 4599 67
2146 5252 33
1024 3696 42
4019 4995 98
4092 282 40
5298 2431 6
3502 5126 43
9689 1729 24
1883 4896 72
9572 9620 33
4433 1050 50
4656 8309 20
2002 8293 75
7092 1674 32
6694 2224 40
2636 6913 9
7431 7648 91
1711 4555 63
250 8787 93
3145 1718 58
8364 3640 45
2083 8678 90
8517 6093 31
6878 588 90
9936 8347 44
948 2327 42
6525 7478 19
1354 9448 73
5305 4693 33
1922 7789 27
2058 8536 35
8387 7352 5
8808 3374 72
5115 9502 24
2705 5547 91
8534 2672 75
3202 4946 82
207 4518 63
7228 1818 29
976 4032 47
7899 8777 9
8664 3420 39
777 6920 85
1966 6069 7
2527 7387 26
6708 8054 99
9214 6679 53
2503 2128 57
5784 9268 62
8434 9373 56
3145 6700 34
7439 3776 2
5486 1681 62
4043 8669 89
5070 5716 33
7490 5066 34
9667 6443 1
6167 3473 6
3281 3683 17
1334 7103 96
7493 2108 13
207 9397 55
1111 6179 38
3676 738 23
7179 4271 68
155 9987 45
1170 5448 3
7019 4602 1
3861 4609 74
6545 8766 66
3893 1131 84
4267 4251 62
6750 6168 63
9588 1173 75
7456 5004 71
9078 4510 71
9672 2636 34
124 8364 68
3771 1349 4
3976 6734 23
8872 3162 11
9217 7940 58
2969 2120 23
628 7915 70
9324 6797 29
2763 6086 100
4472 1691 47
7687 6678 83
756 5860 79
6854 8243 69
2541 3770 22
7367 6998 22
7126 415 27
5676 9708 26
2820 7160 33
7716 1055 3
8971 6392 42
2103 9828 93
9793 7818 13
7959 6083 62
487 5510 49
4296 8001 16
8461 4614 9
5741 8424 50
9675 5486 32
6669 5397 2
6086 7897 12
1871 8955 98
8961 2329 2
4750 5330 76
3496 5782 14
1187 9975 2
7347 9474 66
6638 1619 48
4717 8623 62
8247 8769 22
7503 5884 88
7623 9827 47
2459 9451 33
3827 7228 29
7999 1949 93
1283 5094 95
9838 7022 44
8748 1490 11
3549 808 6
467 110 22
1525 4656 6
3694 524 72
6312 4131 6
1938 5031 7
7417 3531 22
2161 6069 17
4241 4557 23
4998 6989 61
8629 1025 86
6759 6243 43
958 2138 95
4198 7521 50
4883 4316 64
3794 3218 19
3810 5407 41
4521 9085 50
1925 7791 23
6730 3630 89
4339 174 45
1240 443 60
3311 7265 55
5696 6134 38
4958 2319 15
3839 4124 87
5006 6236 13
2526 7715 64
4205 554 87
8405 3484 32
5251 3487 98
6148 5453 74
2690 8191 65
8725 9504 52
9021 6967 88
4708 8357 9
6811 6935 15
1651 9246 27
1352 6702 8
839 9638 20
2984 6713 73
3133 6 45
8712 5797 64
5771 2562 92
8634 4018 99
4014 7225 57
9288 9180 61
991 8214 99
7548 4775 85
7608 5176 81
63 5686 54
8694 15 11
9076 7732 17
4544 8653 80
4996 3598 62
5405 3866 56
3791 8831 81
4562 9988 46
4821 537 52
9160 734 81
3033 6969 64
9906 2618 2
9468 5892 32
4089 6712 71
3336 2479 49
4795 4546 66
7355 1319 10
6071 2174 58
7523 3038 24
2688 7868 49
2886 279 3
577 4422 70
9861 4449 78
9066 7663 38
490 7119 74
6825 9373 43
6296 341 44
3258 5228 65
335 8712 71
2255 2597 77
1535 2344 64
2836 2824 25
7130 3199 18
8629 3864 11
8994 6001 33
3060 1053 95
7888 2002 36
2667 4132 52
4 3215 88
1055 2844 83
9930 1394 67
2031 1904 76
8066 5801 71
4591 3613 20
4941 3453 37
4826 4474 68
8956 6375 8
9697 4921 29
9924 1520 36
1534 2089 70
2699 5212 49
8278 8821 49
873 5246 5
5089 5847 68
1125 2820 58
6085 7474 69
5703 8970 67
7895 8929 34
8296 8016 83
8707 1743 37
4306 783 14
1226 2882 36
5366 5809 92
6341 8085 6
943 8251 92
6171 3956 57
1710 5637 66
1505 9411 16
1596 987 11
1998 6984 25
4254 5185 5
2816 4488 6
7105 4692 40
4163 2405 63
5288 4822 74
6959 2247 89
6489 8174 50
7898 8377 46
9551 4094 16
2386 1408 58
1147 9623 80
2907 7331 59
5402 6226 45
6009 8485 49
4338 5177 65
4049 8477 85
8459 6239 77
5051 9886 25
8073 3804 80
4122 3384 86
4962 6423 16
7828 5241 30
4528 8857 46
8320 2951 30
5653 8991 46
2276 142 22
9217 7997 23
7284 7442 64
1580 7371 31
6662 5199 14
4817 356 49
5450 2018 82
