10000 100000
3103 7956 17
3430 7446 80
8475 333 57
1381 1330 18
4338 9526 75
279 390 80
7964 9734 5
8926 5781 81
3236 1394 71
2933 1197 2
2640 4577 21
2449 8008 72
4864 6177 28
4499 8021 42
7489 6855 42
2290 5151 68
2451 6913 79
2851 7553 26
6337 6325 11
3279 4518 34
3689 9297 93
5840 3833 47
2690 9203 9
2675 2944 12
880 3638 86
9132 9373 48
104 5684 92
9246 3965 36
720 7162 5
4850 5730 18
4915 6709 70
3883 362 14
480 8345 16
1922 4951 85
1682 3315 54
6149 143 35
9771 6438 70
3987 2510 84
3749 2563 51
3954 8859 22
1846 5774 8
7529 6556 94
8445 1358 69
8955 9238 94
7204 1784 94
7038 5383 7
3817 481 95
1097 8832 1
1011 8686 77
8317 7826 9
7737 498 79
8330 9462 74
7777 8325 55
8908 5099 97
9409 5165 18
7368 1024 39
2588 7567 23
6447 3238 65
4124 1051 46
3388 5851 52
8919 6163 50
2454 7283 8
2168 3145 74
29 5928 64
1664 1388 50
6408 6654 34
630 1787 34
518 2928 28
3275 1865 48
4919 9888 6
2231 4889 47
6480 1360 84
6268 9744 100
2861 7397 9
4662 2415 40
5070 1004 1
3898 4735 27
5267 2089 93
1774 2206 31
3400 5554 55
415 4405 30
929 6508 77
997 6094 27
321 9270 37
3155 5291 2
1593 3774 24
9127 7170 66
4364 8352 70
480 4011 1
8881 8057 98
7722 4863 46
4516 3786 87
581 5668 6
8264 5380 65
2096 5212 39
7019 6867 60
871 898 59
979 5955 12
7287 891 71
3285 7977 17
2376 6880 47
3450 4845 11
4320 3723 25
2708 8055 49
2380 9422 66
2971 9576 91
6025 1348 1
2842 8066 10
8977 5005 53
705 5958 20
4806 1130 74
9445 1728 85
9632 4603 38
7360 9721 24
3166 3257 92
8107 2154 33
7305 3315 41
9673 6107 41
4892 9550 82
6708 2336 89
9288 7289 58
9882 338 66
5713 2005 11
9460 332 67
6513 9197 91
1609 942 22
7708 6287 99
8000 8551 37
2347 7895 78
2636 4340 40
7360 8903 92
1984 7236 47
1097 8868 14
2498 7565 89
2987 3834 75
5051 9448 3
2683 2602 35
6538 2867 82
9228 1642 77
5515 685 79
2005 1263 5
5896 9604 63
5712 7621 22
4375 2263 72
909 691 75
7189 1230 87
5438 3196 95
6514 7359 9
3117 4772 44
7073 5678 30
2925 1270 32
718 6562 22
8211 8714 9
6902 9405 97
1884 1785 84
2293 1900 85
5270 2831 22
5668 182 42
1882 3286 28
6047 1166 38
3675 8633 3
4564 5092 93
1984 9137 63
6079 2260 17
6074 5508 79
1945 7008 47
9479 8368 100
1745 909 44
4134 2974 53
4362 6753 93
8757 1897 42
6705 9630 76
6888 2028 89
9043 8375 26
1099 1338 38
9812 7603 88
5452 9511 46
3619 7787 62
5647 7825 2
1622 7091 29
2900 8893 7
3107 2778 87
9689 1115 47
4076 993 75
1582 8745 53
5935 1557 73
9419 9592 86
2584 7975 58
6164 2600 10
7143 6516 71
2716 7980 90
6477 2147 8
2408 794 41
4071 2057 98
761 5199 13
5858 9560 24
6932 5064 18
2277 2363 49
4589 7261 4
5280 252 15
4937 2406 79
6643 536 48
2830 2174 2
6673 9989 80
3456 8341 2
8910 8447 3
2056 1254 63
1695 9422 81
8117 5473 91
594 1758 80
6787 5543 57
6120 8897 66
9936 1779 69
4112 718 13
9306 8587 71
8608 1189 9
8952 4824 9
7353 6954 66
6362 3043 64
684 5438 50
3715 9613 72
7252 957 53
2555 1540 99
340 1207 42
1603 9555 47
7415 297 72
9694 7071 84
1896 6146 100
8443 3150 45
7380 4983 41
1214 1829 95
3218 1339 73
4785 21 90
9858 8938 61
8149 532 43
6544 4766 3
6631 6054 79
4509 763 64
7359 319 51
2612 4629 41
1393 3752 36
9693 1753 4
806 6396 57
6330 7280 26
7523 6022 52
1034 6605 95
2284 3245 76
5017 1898 42
4070 6736 66
2335 4035 17
7617 4341 51
9837 9556 45
1281 7137 96
264 2854 97
2824 4144 41
2218 5540 57
8843 7823 61
139 5814 87
9857 3637 51
1865 2022 49
4807 6618 22
1521 4336 96
6284 6977 62
9014 1284 24
9292 3292 63
7611 5393 32
1274 2902 25
3884 641 61
8814 7485 40
601 1678 35
2777 4262 66
2180 1781 87
5200 7272 67
1588 9405 95
3180 8134 62
9117 5932 12
313 1130 35
1380 5750 42
3809 1821 93
3252 2111 10
4728 7213 40
5110 9382 63
3014 4482 45
4834 9182 11
8816 2636 32
1984 3000 76
9243 7320 78
9065 1986 4
2371 4778 49
6048 5440 92
9570 9917 82
506 6701 84
4419 6188 25
6195 3941 85
4210 7281 48
2114 1551 51
7417 1223 28
852 2314 44
1602 5281 6
3653 1162 18
1513 2588 91
9591 3518 70
1790 3226 1
23 6356 17
9876 1604 4
8731 1175 54
4340 7958 71
3382 5063 11
2498 9349 9
2856 4135 25
1764 5940 31
3420 5797 39
7355 6015 7
8948 2142 96
3849 7285 38
1899 7754 48
3983 4147 47
4374 5211 9
751 4002 51
5970 2447 51
102 3552 56
3934 3437 57
2551 7213 25
3280 7680 4
9620 6347 25
5182 3445 24
7557 6484 95
6612 7235 66
432 692 23
8891 9392 49
3275 5625 48
7845 2885 65
8207 4566 68
8628 5181 35
3146 3590 4
6653 9554 55
7235 6455 96
3638 2584 72
5187 8690 35
5451 1018 17
8558 3992 48
5360 1123 30
7066 6015 5
6096 3809 23
8264 710 33
2177 1456 95
6186 5823 43
8589 715 41
6073 6658 14
1931 3278 60
6567 4926 51
3677 2153 72
4160 8392 69
9576 907 61
7272 3684 61
6907 5813 18
4651 9577 22
1373 2214 47
2981 2792 9
5342 5475 69
789 1787 41
7634 7954 31
3081 576 6
6000 1760 55
8328 3460 7
4311 3644 28
4158 739 51
8828 3295 69
3798 7705 16
5558 9004 13
7038 4935 74
8710 5397 42
5663 8506 61
4462 2903 57
4544 2982 39
4024 3840 57
8257 5306 27
5063 4166 69
6233 2770 75
8659 1364 44
1756 8279 6
7443 4725 36
9397 3996 69
3775 6969 12
2274 6881 17
7451 1012 83
9480 223 81
1246 8793 20
4575 1460 85
7836 7364 72
2142 5587 76
7953 1896 92
1090 2126 59
1386 5954 21
578 8735 49
5435 711 75
2256 5711 93
678 8088 57
6457 4483 46
1392 5286 45
266 1530 70
6948 1710 70
511 1522 1
7071 8822 77
4264 51 41
1529 4827 5
2894 6814 73
8846 6682 63
5100 6772 78
6537 9350 40
6017 9520 21
2903 8337 47
7892 9281 42
7541 661 93
341 6504 18
8337 407 84
9655 7509 83
5108 8425 35
5709 5360 91
7818 1679 10
2409 4678 49
9022 9968 28
2811 2160 32
7381 9061 61
7184 1411 66
9261 7196 81
6560 2932 83
7743 9834 76
5465 9922 75
8300 720 84
5054 314 72
9455 6572 24
1191 1350 61
1438 3897 63
6544 5032 21
9119 4375 90
7214 425 72
772 5550 95
5205 7874 15
4095 5486 80
1667 6058 52
9671 5002 95
4282 8343 58
6509 8868 66
4718 1292 43
3206 6853 100
9760 850 56
1298 9086 22
7857 8448 80
6787 3545 31
9467 2857 94
5703 9297 1
1444 8970 36
1682 5620 22
3026 1948 8
4390 3982 83
3861 3165 37
3169 5389 70
3262 9524 100
7015 4641 47
4014 3742 62
8364 2196 62
8124 6158 42
5853 3072 65
5585 2775 97
220 3879 15
3162 9901 96
5114 8153 26
4783 895 81
95 2725 37
7446 5461 81
867 8214 13
1396 1150 87
137 235 67
1231 7645 35
9723 3402 57
3974 6402 31
4298 286 96
5660 6964 18
1741 6640 19
2099 5572 11
1152 4896 78
4849 5143 29
7269 8525 93
6472 2573 46
5726 4852 23
4563 6909 96
1806 2539 5
6735 1261 28
5498 778 8
7287 1660 88
7891 9442 11
6501 6052 75
8021 6984 13
9751 8636 78
6983 38 38
2514 218 70
111 1710 61
4312 8835 55
2222 4827 73
2465 2136 4
8839 5159 35
5588 1131 96
8491 3744 1
9837 4311 39
4444 6946 69
6292 7411 78
6290 3773 80
353 1607 93
1739 8282 35
8980 7135 57
7744 5044 24
6254 5342 64
3972 5497 49
3341 543 26
9398 2710 57
8140 8760 63
6530 6684 93
8148 1005 23
5481 8743 3
8567 4568 56
3150 6237 72
328 6080 30
5312 6568 32
2726 9660 51
4185 3890 70
1122 6695 31
4914 6425 71
9238 5310 34
8288 3215 83
1933 4814 70
6205 7125 24
719 3670 23
2359 2905 94
9273 9029 11
4206 721 76
1440 7467 98
461 401 78
6578 5962 92
4547 1425 43
711 2263 77
5898 1487 89
557 1603 83
4569 4714 96
3960 8567 7
5151 7310 51
3713 692 72
4012 6906 7
7127 6677 79
7957 752 41
7582 9612 13
3852 6450 45
1140 8020 29
8103 6921 54
3716 5398 15
1601 3770 10
486 305 54
826 8556 4
9450 6015 60
8043 2036 17
8624 6320 26
5589 6609 54
5704 3253 49
4529 1434 95
786 5615 78
5187 5614 66
7709 5813 82
5587 6984 4
3250 7014 17
1261 64 89
2954 9769 41
16 1856 16
4789 7583 74
7161 6143 67
8301 9438 16
9121 4207 61
5338 7152 19
4087 1825 19
9722 1871 25
5040 5020 83
9656 6836 21
5471 4552 75
4100 3773 97
1136 548 12
2187 4170 12
1063 4693 91
1644 8609 29
5628 3518 86
7511 863 12
4055 5047 26
8399 4448 16
9861 815 48
3019 594 28
9123 258 17
2245 7527 94
5236 3313 4
8380 1362 32
2033 660 38
8562 5324 4
2821 7689 90
6483 657 93
7614 992 76
8764 5201 64
6643 8349 19
4125 3878 39
1806 9035 98
6576 4049 91
8445 4254 98
3563 5149 16
283 2680 100
6630 9499 54
9596 4907 54
4293 1017 20
4206 79 61
7818 675 41
1157 3843 75
3532 3306 74
8105 9421 34
1686 8236 12
4312 7886 36
8028 5374 89
6018 4410 10
4372 6600 82
5268 6024 80
4857 4376 24
3828 7749 96
1752 5265 71
7292 8388 97
444 8323 52
5250 2062 86
3106 2313 46
3808 221 68
1250 2192 63
6536 6427 38
5109 6580 52
4089 119 53
8196 3432 97
2482 1609 65
2133 8474 81
644 1252 57
2378 5641 11
5819 9085 38
9940 4303 52
195 8527 75
4280 6857 44
2517 9551 9
7445 8657 64
1271 7735 43
5424 3407 77
4594 2623 26
7310 1801 15
2568 515 69
644 3222 84
606 2450 24
9520 2477 96
5344 5019 35
1186 7733 18
1813 116 47
6500 7793 46
4287 405 94
2231 5420 15
749 956 24
7857 3091 72
904 3118 97
3537 5129 38
253 4808 20
2977 4773 2
2497 6408 37
4931 3790 100
3229 5015 27
5359 2887 37
5163 9544 95
5844 7372 18
8525 6235 92
1309 2892 47
2825 2065 27
6225 7650 53
6513 4939 16
2588 7170 4
3881 2131 64
8098 1415 65
6886 6064 47
3571 7540 2
1211 8770 48
5396 2491 62
2147 3486 69
4038 1159 49
333 9740 65
5931 6094 21
4193 7205 58
5762 2142 42
7891 5411 68
5300 3073 21
3536 4058 44
4168 1631 39
8369 8659 14
5269 6611 42
7021 2380 68
2309 4011 64
2395 1075 51
2495 7500 73
7641 9093 90
9714 705 80
6273 3847 6
7493 6379 68
9742 6891 90
6560 9379 66
4733 1222 89
3542 8054 43
2589 8447 93
1926 5968 83
8288 9334 7
3196 2074 88
3908 4654 26
2276 958 93
7472 6757 64
8423 7054 7
6523 7113 88
9218 4214 20
2216 8404 37
8843 1638 89
4350 2748 88
5184 691 54
1462 3636 48
9113 8845 34
2071 2197 34
7048 159 1
7744 7302 23
6957 1159 80
4282 8683 39
5229 2030 10
7181 8267 84
3863 7463 48
9649 8926 93
8969 5719 98
3748 6790 68
6617 6266 36
8817 8143 6
9454 3971 90
5030 6823 21
932 401 3
2171 6830 6
5285 1131 61
1983 1701 14
2905 6018 71
9152 9668 94
1186 1754 80
885 1295 30
3437 2851 12
4679 360 44
7001 4802 42
2538 6 8
6895 4269 46
8543 3927 74
6797 9539 45
8403 6173 78
7995 8796 30
6567 5897 25
8240 2557 72
6914 5005 83
1505 2286 13
496 4507 71
3233 9802 92
2707 7705 60
749 6154 65
6026 9288 24
2794 9613 46
9926 9412 33
9545 3401 62
9316 7623 7
9300 8413 15
952 9032 15
6550 8210 37
7128 9296 72
7738 6909 6
5188 773 46
1929 9214 54
3071 5012 75
9816 1053 48
9676 7972 80
3050 703 77
3199 1820 91
8369 5446 14
7006 3175 66
7703 514 14
2907 3312 92
7779 1478 11
5889 583 14
7584 9099 55
8566 631 89
6888 9608 12
3923 326 10
5139 6098 52
5630 394 43
1915 9636 91
6820 5967 91
2766 7591 23
6458 5548 59
1086 8812 92
4027 1744 23
93 5267 50
9643 9093 55
7864 2833 78
8849 6710 57
2298 7874 99
8699 2717 46
7300 8526 4
177 5019 43
3748 7975 34
5076 6112 25
1739 5232 28
5563 3453 83
3796 9785 71
2670 3849 64
8364 5051 73
1841 5166 14
3264 6549 40
4640 2376 14
4965 2035 42
1634 4739 3
1886 9602 33
4303 2617 61
1346 6098 57
8153 1369 77
7371 3826 64
355 182 39
8943 6993 45
3939 9713 83
3327 4872 77
9147 7199 48
2847 5683 41
5090 5159 58
1002 7893 39
1315 9990 82
1155 631 76
